Date,Time,local,visit,g_loc,g_vis,m_loc,m_vis,PossH,PossA,TSH,TSA,On_TargetH,On_TargetA,Off_TargetH,Off_TargetA,BlockedH,BlockedA,PassingpcH,PassingpcA,ClearCutChancesH,ClearCutChancesA,CornersH,CornersA,OffsidesH,OffsidesA,TacklespcH,TacklespcA,AerialDuelspcH,AerialDuelspcA,SavesH,SavesA,FoulsCommittedH,FoulsCommittedA,FoulsWonH,FoulsWonA,YellowCardsH,YellowCardsA,RedCardsH,RedCardsA,Stadium,Attendance,Referee,Assistants,Fourth_official
2/12/2023,15:00,Arsenal,Wolves,2,1,"[6, 13]",[86],56.7,43.3,19.0,6.0,6.0,3.0,8.0,3.0,5.0,0.0,88.3,79.9,4.0,2.0,4.0,0.0,3.0,0.0,47.1,55.6,45.0,55.0,2.0,4.0,10.0,10.0,8.0,9.0,1.0,2.0,0.0,0.0,Emirates Stadium,60262,Peter Bankes,Thomas Bramall,John Brooks
2/12/2023,15:00,Brentford,Luton,3,1,"[49, 56, 81]",[76],68.6,31.4,27.0,7.0,6.0,1.0,9.0,1.0,12.0,5.0,84.7,69.0,0.0,0.0,7.0,5.0,0.0,2.0,50.0,47.1,30.3,69.7,0.0,3.0,10.0,8.0,8.0,10.0,1.0,2.0,0.0,0.0,Gtech Community Stadium,17075,Anthony Taylor,Robert Madley,Andy Madley
2/12/2023,15:00,Burnley,Sheff Utd,5,0,"[1, 29, 73, 75, 80]",[],63.6,36.4,19.0,6.0,7.0,3.0,6.0,3.0,6.0,0.0,84.2,72.5,3.0,1.0,6.0,1.0,3.0,1.0,60.0,45.5,59.0,41.0,3.0,2.0,10.0,12.0,12.0,10.0,2.0,5.0,0.0,1.0,Turf Moor,20891,Chris Kavanagh,Leigh Doughty,Stuart Attwell
2/12/2023,17:30,N Forest,Everton,0,1,[],[67],61.6,38.4,13.0,12.0,2.0,3.0,5.0,5.0,6.0,4.0,81.8,65.5,0.0,1.0,4.0,3.0,1.0,2.0,66.7,37.5,46.0,54.0,1.0,2.0,15.0,14.0,13.0,15.0,1.0,0.0,0.0,0.0,The City Ground,29404,Paul Tierney,Matt Donohue,Michael Oliver
2/12/2023,20:00,Newcastle,Man Utd,1,0,[55],[],58.3,41.7,22.0,8.0,4.0,1.0,11.0,2.0,7.0,5.0,83.3,75.7,3.0,0.0,7.0,3.0,0.0,1.0,88.2,60.0,66.7,33.3,1.0,3.0,6.0,14.0,14.0,6.0,1.0,2.0,0.0,0.0,"""St James Park",52214,Robert Jones,Graham Scott,Michael Salisbury
27/11/2023,20:00,Fulham,Wolves,3,2,"[7, 59, 90]","[22, 75]",59.8,40.2,12.0,10.0,6.0,6.0,3.0,4.0,3.0,0.0,84.4,75.2,1.0,1.0,6.0,2.0,1.0,1.0,41.2,54.5,64.7,35.3,4.0,3.0,13.0,13.0,13.0,12.0,2.0,2.0,0.0,0.0,Craven Cottage,24366,Michael Salisbury,Darren England,Stuart Attwell
26/11/2023,14:00,Tottenham,A Villa,1,2,[22],"[45, 61]",62.0,38.0,18.0,15.0,8.0,5.0,9.0,8.0,1.0,2.0,90.2,86.2,4.0,4.0,9.0,3.0,5.0,2.0,57.1,50.0,50.0,50.0,3.0,6.0,11.0,13.0,12.0,11.0,0.0,4.0,0.0,0.0,Tottenham Hotspur Stadium,61679,Robert Jones,"Timothy Wood, Wade Smith",Tim Robinson
26/11/2023,16:30,Everton,Man Utd,0,3,[],"[3, 56, 75]",50.6,49.4,24.0,9.0,6.0,4.0,12.0,5.0,6.0,0.0,77.9,76.1,2.0,2.0,6.0,5.0,2.0,2.0,60.0,42.9,43.6,56.4,1.0,6.0,10.0,8.0,8.0,10.0,3.0,0.0,0.0,0.0,Goodison Park,39257,John Brooks,"Darren Cann, Lee Betts",Andy Madley
25/11/2023,24:30,Man City,Liverpool,1,1,[27],[80],60.0,40.0,16.0,8.0,5.0,3.0,4.0,3.0,7.0,2.0,91.0,81.6,2.0,1.0,9.0,6.0,3.0,4.0,63.6,58.3,65.4,34.6,2.0,4.0,9.0,11.0,11.0,8.0,1.0,3.0,0.0,0.0,Etihad Stadium,53289,Chris Kavanagh,"Dan Robathan, Simon Bennett",Thomas Bramall
25/11/2023,15:00,Burnley,West Ham,1,2,[49],"[86, 90]",50.9,49.1,11.0,11.0,5.0,3.0,6.0,3.0,0.0,5.0,82.5,75.9,1.0,2.0,4.0,5.0,2.0,1.0,64.7,70.0,47.6,52.4,2.0,4.0,11.0,7.0,6.0,11.0,1.0,3.0,0.0,0.0,Turf Moor,21319,Samuel Barrott,"Steven Meredith, Marc Perry",Matt Donohue
